Learning Rate,Hidden Dim,Epochs,Dropout Rate,Train Accuracy,Test Accuracy
0.005,16,15,0.2,0.9285714030265808,0.8611111044883728
0.005,16,15,0.3,0.8857142925262451,0.9166666865348816
0.005,16,15,0.4,0.7857142686843872,0.6944444179534912
0.005,16,25,0.2,0.9285714030265808,0.8611111044883728
0.005,16,25,0.3,0.8928571343421936,0.8055555820465088
0.005,16,25,0.4,0.9285714030265808,0.6944444179534912
0.005,16,40,0.2,0.9428571462631226,0.6944444179534912
0.005,16,40,0.3,0.9428571462631226,0.8888888955116272
0.005,16,40,0.4,0.9571428298950195,0.8055555820465088
0.005,32,15,0.2,0.8642857074737549,0.8611111044883728
0.005,32,15,0.3,0.9214285612106323,0.7777777910232544
0.005,32,15,0.4,0.9071428775787354,0.8055555820465088
0.005,32,25,0.2,0.9357143044471741,0.8333333134651184
0.005,32,25,0.3,0.9214285612106323,0.7777777910232544
0.005,32,25,0.4,0.9285714030265808,0.8611111044883728
0.005,32,40,0.2,0.9571428298950195,0.75
0.005,32,40,0.3,0.9571428298950195,0.8611111044883728
0.005,32,40,0.4,0.949999988079071,0.7777777910232544
0.005,64,15,0.2,0.9428571462631226,0.8333333134651184
0.005,64,15,0.3,0.9428571462631226,0.8611111044883728
0.005,64,15,0.4,0.9285714030265808,0.8611111044883728
0.005,64,25,0.2,0.949999988079071,0.75
0.005,64,25,0.3,0.9285714030265808,0.8611111044883728
0.005,64,25,0.4,0.9571428298950195,0.7222222089767456
0.005,64,40,0.2,0.949999988079071,0.7777777910232544
0.005,64,40,0.3,0.9571428298950195,0.75
0.005,64,40,0.4,0.9357143044471741,0.8611111044883728
0.01,16,15,0.2,0.9357143044471741,0.6944444179534912
0.01,16,15,0.3,0.9142857193946838,0.7777777910232544
0.01,16,15,0.4,0.9071428775787354,0.8333333134651184
0.01,16,25,0.2,0.9642857313156128,0.8333333134651184
0.01,16,25,0.3,0.9357143044471741,0.8333333134651184
0.01,16,25,0.4,0.9357143044471741,0.7222222089767456
0.01,16,40,0.2,0.9428571462631226,0.7222222089767456
0.01,16,40,0.3,0.9428571462631226,0.7222222089767456
0.01,16,40,0.4,0.9142857193946838,0.6944444179534912
0.01,32,15,0.2,0.9142857193946838,0.8333333134651184
0.01,32,15,0.3,0.9285714030265808,0.7777777910232544
0.01,32,15,0.4,0.9285714030265808,0.8333333134651184
0.01,32,25,0.2,0.9357143044471741,0.7222222089767456
0.01,32,25,0.3,0.9285714030265808,0.75
0.01,32,25,0.4,0.9428571462631226,0.8333333134651184
0.01,32,40,0.2,0.9642857313156128,0.7222222089767456
0.01,32,40,0.3,0.9214285612106323,0.8333333134651184
0.01,32,40,0.4,0.9428571462631226,0.8611111044883728
0.01,64,15,0.2,0.9071428775787354,0.6666666865348816
0.01,64,15,0.3,0.9214285612106323,0.6944444179534912
0.01,64,15,0.4,0.9428571462631226,0.7777777910232544
0.01,64,25,0.2,0.9357143044471741,0.7222222089767456
0.01,64,25,0.3,0.9214285612106323,0.6944444179534912
0.01,64,25,0.4,0.9428571462631226,0.8333333134651184
0.01,64,40,0.2,0.949999988079071,0.6944444179534912
0.01,64,40,0.3,0.949999988079071,0.75
0.01,64,40,0.4,0.9428571462631226,0.8055555820465088
0.1,16,15,0.2,0.8142856955528259,0.7222222089767456
0.1,16,15,0.3,0.8428571224212646,0.75
0.1,16,15,0.4,0.7642857432365417,0.7777777910232544
0.1,16,25,0.2,0.8714285492897034,0.75
0.1,16,25,0.3,0.7785714268684387,0.6666666865348816
0.1,16,25,0.4,0.6357142925262451,0.5555555820465088
0.1,16,40,0.2,0.6214285492897034,0.4722222089767456
0.1,16,40,0.3,0.8142856955528259,0.7777777910232544
0.1,16,40,0.4,0.5928571224212646,0.5833333134651184
0.1,32,15,0.2,0.8642857074737549,0.7777777910232544
0.1,32,15,0.3,0.7428571581840515,0.8055555820465088
0.1,32,15,0.4,0.8214285969734192,0.8055555820465088
0.1,32,25,0.2,0.9214285612106323,0.8333333134651184
0.1,32,25,0.3,0.8642857074737549,0.8333333134651184
0.1,32,25,0.4,0.8999999761581421,0.6944444179534912
0.1,32,40,0.2,0.9357143044471741,0.7222222089767456
0.1,32,40,0.3,0.8500000238418579,0.75
0.1,32,40,0.4,0.8928571343421936,0.8333333134651184
0.1,64,15,0.2,0.9071428775787354,0.8333333134651184
0.1,64,15,0.3,0.8785714507102966,0.75
0.1,64,15,0.4,0.7928571701049805,0.8333333134651184
0.1,64,25,0.2,0.949999988079071,0.75
0.1,64,25,0.3,0.8785714507102966,0.7222222089767456
0.1,64,25,0.4,0.9214285612106323,0.8611111044883728
0.1,64,40,0.2,0.8928571343421936,0.6666666865348816
0.1,64,40,0.3,0.9571428298950195,0.8055555820465088
0.1,64,40,0.4,0.8357142806053162,0.7777777910232544
